,organic_core,metal_node,topology,branch_smiles,dist
0,sym_5_on_12,sym_12_mc_11,ftw,[Lr]c1ccc(C#Cc2ccc([Lr])cc2)cc1,0.0
1,sym_5_on_12,sym_12_mc_11,ftw,[Lr]c1ccc(-c2ccc([Lr])cc2)cc1,4.420111179351807
2,sym_5_on_12,sym_12_mc_11,ftw,[Lr]c1ccc(-c2ccc([Lr])cc2)cc1,4.420111179351807
3,sym_5_on_12,sym_12_mc_11,ftw,[Lr]c1ccc(-c2ccc([Lr])cc2)cc1,4.420111179351807
4,sym_5_on_12,sym_12_mc_11,ftw,[Lr]c1ccc(-c2ccc([Lr])cc2)cc1,4.420111179351807
5,sym_5_on_12,sym_12_mc_11,ftw,[Lr]c1ccc(-c2ccc([Lr])cc2)cc1,4.420111179351807
6,sym_5_on_11,sym_12_mc_11,ftw,[Lr]c1ccc(-c2ccc([Lr])cc2)cc1,8.840222358703613
7,sym_5_on_11,sym_12_mc_11,ftw,[Lr]c1ccc(-c2ccc([Lr])cc2)cc1,8.840222358703613
8,sym_5_on_11,sym_12_mc_11,ftw,[Lr]c1ccc(-c2ccc([Lr])cc2)cc1,8.840222358703613
9,sym_5_on_11,sym_12_mc_11,ftw,[Lr]c1ccc(-c2ccc([Lr])cc2)cc1,8.840222358703613
10,sym_5_on_11,sym_12_mc_11,ftw,[Lr]c1ccc([Lr])cc1,8.840222358703613
11,sym_5_on_11,sym_8_mc_9,scu,[Lr]c1ccc([Lr])cc1,13.260333061218262
12,sym_5_on_11,sym_8_mc_9,scu,[Lr]c1ccc([Lr])cc1,13.260333061218262
13,sym_5_on_11,sym_8_mc_9,scu,[Lr]c1ccc([Lr])cc1,13.260333061218262
14,sym_5_on_11,sym_8_mc_9,scu,[Lr]c1ccc([Lr])cc1,13.260333061218262
15,sym_5_on_11,sym_8_mc_9,scu,[Lr]c1ccc([Lr])cc1,13.260333061218262
16,sym_5_on_11,sym_8_mc_9,csq,[Lr]c1ccc([Lr])cc1,17.680444717407227
17,sym_5_on_11,sym_8_mc_9,csq,[Lr]c1ccc([Lr])cc1,17.680444717407227
18,sym_5_on_11,sym_8_mc_9,csq,[Lr]c1ccc([Lr])cc1,17.680444717407227
19,sym_5_on_11,sym_8_mc_9,csq,[Lr]c1ccc([Lr])cc1,17.680444717407227
20,sym_5_on_11,sym_8_mc_9,csq,[Lr]c1ccc([Lr])cc1,17.680444717407227
21,sym_5_on_11,sym_8_mc_9,csq,[Lr]c1ccc([Lr])cc1,22.100555419921875
